KeyDescription,(No column name)
Win 10 RTM Professional Retail,389
Win 8.1 RTM Professional Retail,284
Windows Server 2021 RTM ServerDatacenter;AzureStackHCIAddOn2021 Retail,257
Windows Server 2021 RTM ServerStandard Retail,181
Windows Server 2019 RTM AzureStackHCIAddOn Retail,86
Win 10 RTM Core OEM:DM,85
Windows Embedded Industry 8.1 RTM EmbeddedIndustry Retail,78
Win 10 RTM Professional OEM:DM,71
Windows Server 2016 RTM ServerDatacenter Retail,70
Office19_ProPlus2019MSDNR_Retail,51
Office16_ProPlusMSDNR_Retail,49
Win 10 RTM Professional OEM:NONSLP,40
Office15_ProPlusMSDNR_Retail,35
Office21_Access2021R_Retail,29
Win 10 RTM Core OEM:NONSLP,29
Win 10 RTM Core Retail,29
Win 8.1 RTM Professional OEM:NONSLP,28
Win 10 RTM CoreSingleLanguage OEM:DM,27
Office21_ProjectPro2021R_Retail,24
Office21_VisioPro2021R_Retail,22
Office15_ProjectProR_Retail,18
Office15_VisioProR_Retail,18
Win 8 RTM Professional OEM:DM,14
Win 8 RTM Professional Retail,13
Win 8.1 RTM Professional OEM:DM,11
Office19_VisioPro2019R_Retail,11
Office15_ProPlusR_Retail,9
Office19_ProPlus2019R_Retail,9
Windows Server Essentials 2016 RTM ServerSolution Retail,8
Win 8.1 RTM Core Retail,8
Office19_ProjectPro2019R_Retail,7
Win 8.1 RTM ProfessionalN Retail,7
Windows Server 2016 RTM ServerStandard Retail,6
Office16_ProPlusR_Retail,6
Office15_HomeStudentR_Retail,6
Win 10 RTM CoreCountrySpecific OEM:DM,4
Windows 7 SP1 Professional Retail,4
Office15_HomeStudentR_OEM_Perp,4
Win 8 RTM ProfessionalN Retail,3
Win 8 RTM CoreSingleLanguage OEM:NONSLP,3
Win 10 RTM EnterpriseS Volume:GVLK,2
RTM_ProPlus_MAK,2
Win 8 RTM Core Retail,2
Office15_HomeBusinessR_OEM_Perp,2
RTM_Standard_MAK,2
Office21_ProPlus2021MSDNR_Retail,2
Win 10 RTM EnterpriseSN Volume:GVLK,2
Office21_ProjectPro2021MSDNR_Retail1,1
Win 8 RTM ProfessionalN Volume:GVLK,1
Win 8.1 RTM ProfessionalN Volume:GVLK,1
Win 8 RTM CoreCountrySpecific Volume:GVLK,1
Windows Vista EnterpriseN GVLK,1
Win 10 RTM EnterpriseG Volume:GVLK,1
Windows 7 Ultimate Retail,1
MultiPoint Server 2012 RTM ServerMultiPointPremium Volume:GVLK,1
Windows Vista Enterprise - GVLK,1
Windows 7 ProfessionalN Volume:GVLK,1
Win 8 RTM Enterprise Volume:GVLK,1
Win 8 RTM EnterpriseN Volume:GVLK,1
Windows 7 Professional Volume:GVLK,1
Win 10 RTM Professional Volume:GVLK,1
Win 10 RTM Enterprise Volume:GVLK,1
Win 10 RTM ProfessionalWorkstationN Volume:GVLK,1
RTM_StandardMSDN_Retail,1
Win 8 RTM Professional OEM:NONSLP,1
Win 10 RTM EnterpriseN Volume:GVLK,1
Win 8 RTM Core Volume:GVLK,1
MultiPoint Server 2012 RTM ServerMultiPointStandard Volume:GVLK,1
Win 8.1 RTM Enterprise Volume:GVLK,1
Win 10 RTM CoreN Retail,1
Windows Server 2016 RTM ServerDatacenter Volume:GVLK,1
Win 8 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK,1
Win 8.1 RTM CoreCountrySpecific OEM:DM,1
Win 10 RTM ProfessionalEducation Volume:GVLK,1
Windows Server 2021 RTM ServerDatacenter Volume:GVLK,1
Windows 7 EnterpriseE Volume:GVLK,1
Windows Server Essentials 2012 R2 RTM ServerSolution Volume:GVLK,1
Office15_ProfessionalR_Retail,1
Win 10 RTM ProfessionalN Volume:GVLK,1
Windows 7 ProfessionalE Volume:GVLK,1
Win 8 RTM Professional Volume:GVLK,1
Win 10 RTM EnterpriseGN Volume:GVLK,1
Windows Server 2012 RTM ServerDatacenter Volume:GVLK,1
Windows Server 2016 RTM ServerStandard Volume:GVLK,1
Win 10 RTM ProfessionalWorkstation Volume:GVLK,1
Win 8.1 RTM Professional Volume:GVLK,1
Office15_HomeBusinessR_Retail,1
Windows 7 Enterprise Volume:GVLK,1
Win 8.1 RTM Core OEM:DM,1
Windows Vista Business N - GVLK,1
Windows 7 EnterpriseN Volume:GVLK,1
RTM_HomeBusiness_Retail,1
Win 8 RTM CoreN Volume:GVLK,1
Windows Server 12 R2 RTM ServerDatacenter Volume:GVLK,1
Win 10 RTM Education Volume:GVLK,1
Win 8 RTM CoreSingleLanguage Volume:GVLK,1
Win 10 RTM EducationN Volume:GVLK,1
Win 10 RTM ProfessionalEducationN Volume:GVLK,1
Windows Vista Business - GVLK,1
Windows Server 12 R2 RTM ServerStandard Volume:GVLK,1
Windows Server 2021 RTM ServerStandard Volume:GVLK,1
Win 8 RTM CoreSingleLanguage OEM:DM,1
Windows Server 2012 RTM ServerStandard Volume:GVLK,1
Win 8.1 RTM EnterpriseN Volume:GVLK,1
Windows Server Essentials 2016 RTM ServerSolution Volume:GVLK,1
Office16_HomeStudentR_Retail,1
